id,value
Skills,
Skills.Languages,
Skills.Languages.Python,10
Skills.Languages.JavaScript,1
Skills.Languages.SQL,1
Skills.Languages.R,1
Skills.Languages.HTML,1
Skills.Languages.CSS,1
Skills.Languages.VBA,1
Skills.Databases,
Skills.Databases.PostgreSQL,10
Skills.Databases.MongoDB,11
Skills.Databases.SQLite,11
Skills.Visualizations,
Skills.Visualizations.D3js,10
Skills.Visualizations.Chartjs,10
Skills.Visualizations.Leaflet,10
Skills.Visualizations.Plotly,10
Skills.Visualizations.Tableau,11
Skills.Python-Libraries,
Skills.Python-Libraries.Pandas,1
Skills.Python-Libraries.Matplotlib,1
Skills.Python-Libraries.NumPy,1
Skills.Python-Libraries.SQLAlchemy,1
Skills.Python-Libraries.PyMongo,1
Skills.Python-Libraries.Flask,1
Skills.Python-Libraries.Scikit-Learn,1
Skills.Python-Libraries.SciPy,1
Skills.Python-Libraries.TensorFlow,1
Skills.Python-Libraries.Keras,1
Skills.Python-Libraries.NLTK,1
Skills.Python-Libraries.TextBlob,1
Skills.Other-Technologies,
Skills.Other-Technologies.Web-Scraping,
Skills.Other-Technologies.Web-Scraping.ChromeDriver,1
Skills.Other-Technologies.Web-Scraping.BeautifulSoup,1
Skills.Other-Technologies.Web-Scraping.Splinter,1
Skills.Other-Technologies.API_Calls,1
Skills.Other-Technologies.Time-Series-Analysis,
Skills.Other-Technologies.Time-Series-Analysis.Prophet_by_Facebook,1
Skills.Other-Technologies.Time-Series-Analysis.ARIMA_Model,1
Skills.Other-Technologies.Statistics,
Skills.Other-Technologies.Statistics.A/B_Testing,1
Skills.Other-Technologies.Statistics.Chi-square_Test,1
Skills.Other-Technologies.Statistics.T-Test,1
Skills.Other-Technologies.Cloud-Computing,
Skills.Other-Technologies.Cloud-Computing.AWS-RDS,1
Skills.Other-Technologies.Cloud-Computing.Google-Colaboratory,1
Skills.Other-Technologies.Cloud-Computing.Pyspark,1
Skills.Other-Technologies.MachineLearning,1
Skills.Other-Technologies.NaturalLanguageProcessing,1
Skills.Other-Technologies.Advanced_MS-Excel,1
Skills.Other-Technologies.Jinja,1
Skills.Other-Technologies.Git_and_GitHub,1
Skills.Other-Technologies.Heroku,1
Skills.Other-Technologies.SAP,1
Skills.Other-Technologies.SFDC,1
